,industry_name,key,num_firms,total_market_cap,total_presentvalue_marketcap,gvkeys,marketcap_id
45,Construction Materials,17,57,285406523119.932,285406523119.932,"[8358.0, 9778.0, 11456.0, 2771.0, 7085.0, 163036.0, 3580.0, 8214.0, 175689.0, 11094.0, 12445.0, 30260.0, 30032.0, 6821.0, 29156.0, 14330.0, 2820.0, 119316.0, 166482.0, 30421.0, 5987.0, 64254.0, 140366.0, 14042.0, 133367.0, 12379.0, 1686.0, 7512.0, 8105.0, 15038.0, 164116.0, 66602.0, 19431.0, 5621.0, 165981.0, 61709.0, 63593.0, 4186.0, 24099.0, 7911.0, 4019.0, 63595.0, 63952.0, 178644.0, 17845.0, 165489.0, 106897.0, 175078.0, 2999.0, 4607.0, 153814.0, 176832.0, 143688.0, 2618.0, 141139.0, 5678.0, 65850.0]",all
46,Construction Materials - Large Cap,17,11,227389282990.0,227389282990.0,"[8358.0, 9778.0, 11456.0, 2771.0, 7085.0, 163036.0, 3580.0, 8214.0, 175689.0, 11094.0, 12445.0]",large_cap
47,Construction Materials - Small Cap,17,11,105512645.12,105512645.12,"[106897.0, 175078.0, 2999.0, 4607.0, 153814.0, 176832.0, 143688.0, 2618.0, 141139.0, 5678.0, 65850.0]",small_cap
48,Consumer Goods,9,32,579347795920.0,579347795920.0,"[8762.0, 4213.0, 3170.0, 61567.0, 3026.0, 156861.0, 3121.0, 9771.0, 11465.0, 14309.0, 12389.0, 30312.0, 7875.0, 6543.0, 6649.0, 11670.0, 10056.0, 4194.0, 23252.0, 5572.0, 64028.0, 7951.0, 4771.0, 28118.0, 116504.0, 2080.0, 122211.0, 61285.0, 22049.0, 11930.0, 107016.0, 22496.0]",all
54,Electrical Equipment,22,46,420331659003.095,420331659003.095,"[9818.0, 4199.0, 9203.0, 5764.0, 146017.0, 2526.0, 9016.0, 25747.0, 160893.0, 4881.0, 8699.0, 1823.0, 24795.0, 141881.0, 19305.0, 5520.0, 10000.0, 28724.0, 6527.0, 25088.0, 61153.0, 13906.0, 166368.0, 141099.0, 25430.0, 29930.0, 26045.0, 15240.0, 148772.0, 20456.0, 13176.0, 174552.0, 260737.0, 179058.0, 65344.0, 141662.0, 162765.0, 145407.0, 30614.0, 108319.0, 14913.0, 106030.0, 108320.0, 66665.0, 108680.0, 29816.0]",all
57,Electronic Equipment,36,126,10924660483175.15,10924660483175.15,"[117768.0, 1690.0, 1161.0, 7343.0, 24800.0, 6008.0, 14282.0, 10499.0, 1632.0, 7985.0, 137310.0, 177267.0, 7585.0, 132740.0, 5492.0, 160888.0, 141459.0, 27965.0, 112158.0, 64356.0, 175404.0, 65380.0, 28195.0, 126721.0, 30170.0, 134932.0, 31255.0, 16597.0, 110039.0, 1327.0, 28139.0, 61562.0, 64853.0, 139804.0, 9599.0, 16401.0, 25274.0, 28940.0, 66393.0, 133288.0, 61356.0, 29241.0, 12945.0, 21238.0, 175955.0, 142814.0, 125604.0, 10008.0, 3969.0, 66032.0, 271823.0, 13200.0, 11191.0, 9216.0, 175982.0, 23084.0, 7685.0, 2577.0, 264416.0, 31843.0, 110760.0, 177426.0, 278234.0, 28236.0, 154039.0, 30576.0, 66686.0, 27794.0, 25166.0, 8348.0, 12482.0, 2124.0, 21743.0, 1117.0, 176572.0, 176035.0, 120860.0, 63531.0, 7291.0, 160213.0, 20483.0, 138501.0, 165551.0, 106965.0, 65590.0, 141178.0, 3358.0, 4450.0, 28385.0, 183547.0, 65036.0, 9154.0, 128121.0, 2829.0, 28374.0, 64278.0, 13582.0, 14112.0, 61646.0, 135044.0, 9799.0, 24912.0, 177058.0, 6848.0, 6416.0, 178153.0, 29332.0, 122229.0, 138841.0, 132525.0, 5932.0, 3962.0, 8176.0, 105478.0, 11027.0, 18549.0, 60801.0, 178865.0, 66385.0, 107087.0, 65998.0, 115162.0, 7350.0, 176752.0, 127114.0, 141621.0]",all
58,Electronic Equipment - Large Cap,36,25,10739143403315.0,10739143403315.0,"[117768.0, 1690.0, 1161.0, 7343.0, 24800.0, 6008.0, 14282.0, 10499.0, 1632.0, 7985.0, 137310.0, 177267.0, 7585.0, 132740.0, 5492.0, 160888.0, 141459.0, 27965.0, 112158.0, 64356.0, 175404.0, 65380.0, 28195.0, 126721.0, 30170.0]",large_cap
59,Electronic Equipment - Small Cap,36,25,402625460.55,402625460.55,"[24912.0, 177058.0, 6848.0, 6416.0, 178153.0, 29332.0, 122229.0, 138841.0, 132525.0, 5932.0, 3962.0, 8176.0, 105478.0, 11027.0, 18549.0, 60801.0, 178865.0, 66385.0, 107087.0, 65998.0, 115162.0, 7350.0, 176752.0, 127114.0, 141621.0]",small_cap
60,Entertainment,7,32,570823145329.0,570823145329.0,"[147579.0, 161844.0, 165746.0, 125240.0, 149318.0, 14418.0, 3028.0, 64344.0, 177108.0, 28378.0, 30259.0, 28704.0, 13710.0, 117036.0, 157476.0, 108592.0, 7022.0, 174314.0, 154235.0, 28749.0, 31099.0, 66301.0, 20930.0, 9367.0, 155616.0, 29151.0, 154360.0, 147303.0, 31629.0, 137721.0, 63388.0, 178578.0]",all
63,Fabricated Products,20,10,16767058555.0,16767058555.0,"[25964.0, 1926.0, 15252.0, 5254.0, 65441.0, 7602.0, 9647.0, 17616.0, 64121.0, 20523.0]",all
66,Food Products,2,47,593795375444.0,593795375444.0,"[16603.0, 142953.0, 5568.0, 1722.0, 5597.0, 5071.0, 7146.0, 144435.0, 10793.0, 5709.0, 215422.0, 65613.0, 9777.0, 12785.0, 2663.0, 3362.0, 66016.0, 30651.0, 6573.0, 64072.0, 4809.0, 2675.0, 12825.0, 10609.0, 163983.0, 24755.0, 130638.0, 20879.0, 12761.0, 7696.0, 15087.0, 21506.0, 158743.0, 7770.0, 8582.0, 29517.0, 29609.0, 2390.0, 4579.0, 149662.0, 160196.0, 21875.0, 11976.0, 106378.0, 10598.0, 108586.0, 105796.0]",all
69,Healthcare,11,30,224814343212.8,224814343212.8,"[7241.0, 14960.0, 64166.0, 7750.0, 11032.0, 12589.0, 178803.0, 61483.0, 2960.0, 13071.0, 164652.0, 7741.0, 61325.0, 125794.0, 13992.0, 5539.0, 25318.0, 61490.0, 23714.0, 160864.0, 25472.0, 4826.0, 12304.0, 23790.0, 66274.0, 1559.0, 13733.0, 110728.0, 166485.0, 64599.0]",all
