,industry_name,key,num_firms,total_market_cap,total_presentvalue_marketcap,gvkeys,marketcap_id
130,Trading,47,239,3308062938632.74,3308062938632.74,"[12124.0, 114628.0, 13988.0, 124434.0, 144496.0, 5543.0, 29984.0, 177088.0, 2369.0, 149070.0, 163610.0, 105365.0, 138743.0, 29389.0, 149337.0, 160991.0, 30822.0, 243774.0, 164708.0, 10096.0, 15699.0, 178507.0, 178997.0, 113490.0, 110179.0, 10035.0, 8898.0, 176701.0, 160479.0, 29875.0, 62374.0, 28733.0, 12138.0, 121382.0, 10504.0, 145701.0, 9273.0, 30293.0, 29649.0, 29359.0, 65556.0, 66354.0, 24731.0, 174744.0, 25633.0, 6682.0, 11770.0, 15399.0, 29099.0, 4885.0, 7063.0, 10894.0, 27875.0, 28629.0, 29804.0, 13125.0, 63422.0, 64925.0, 14333.0, 9317.0, 64766.0, 4193.0, 160373.0, 4605.0, 64821.0, 30067.0, 160990.0, 6100.0, 65886.0, 30384.0, 12140.0, 158742.0, 11220.0, 8605.0, 24620.0, 28322.0, 14326.0, 209985.0, 266315.0, 31521.0, 29868.0, 162559.0, 157293.0, 64306.0, 65615.0, 3562.0, 64803.0, 66731.0, 108071.0, 162354.0, 28340.0, 65710.0, 24533.0, 14592.0, 5862.0, 65290.0, 20791.0, 127377.0, 266214.0, 24825.0, 8692.0, 162160.0, 29052.0, 30298.0, 105728.0, 28323.0, 29552.0, 14403.0, 175307.0, 160706.0, 106528.0, 24750.0, 61163.0, 25665.0, 5149.0, 11301.0, 160173.0, 141663.0, 28785.0, 64260.0, 30637.0, 150837.0, 10917.0, 128078.0, 152828.0, 166676.0, 124046.0, 29082.0, 65640.0, 1257.0, 4045.0, 146140.0, 178862.0, 20727.0, 9346.0, 15101.0, 30490.0, 160778.0, 8493.0, 61955.0, 28769.0, 13453.0, 61129.0, 15082.0, 158053.0, 65261.0, 3429.0, 135788.0, 158765.0, 13580.0, 154739.0, 13562.0, 7279.0, 24291.0, 105576.0, 8148.0, 9521.0, 65235.0, 61004.0, 149557.0, 122438.0, 27780.0, 112592.0, 61188.0, 65632.0, 105911.0, 1949.0, 178726.0, 9393.0, 66376.0, 174926.0, 118264.0, 179042.0, 16641.0, 149082.0, 162925.0, 178073.0, 7315.0, 174360.0, 24660.0, 12110.0, 20059.0, 164563.0, 163884.0, 140222.0, 114352.0, 20475.0, 177550.0, 121257.0, 149906.0, 121154.0, 20840.0, 7959.0, 64545.0, 63718.0, 120456.0, 175674.0, 24980.0, 161852.0, 15824.0, 175315.0, 165209.0, 108345.0, 115831.0, 264510.0, 129919.0, 155754.0, 12407.0, 158766.0, 108901.0, 3842.0, 21361.0, 29089.0, 9355.0, 8987.0, 161065.0, 119594.0, 106061.0, 111627.0, 17430.0, 7034.0, 2467.0, 7277.0, 29752.0, 13913.0, 165580.0, 176735.0, 114962.0, 140364.0, 105231.0, 64945.0, 176366.0, 22064.0, 8611.0, 62545.0, 107434.0, 147352.0, 163863.0, 62206.0]",all
131,Trading - Large Cap,47,47,2853995437490.0,2853995437490.0,"[12124.0, 114628.0, 13988.0, 124434.0, 144496.0, 5543.0, 29984.0, 177088.0, 2369.0, 149070.0, 163610.0, 105365.0, 138743.0, 29389.0, 149337.0, 160991.0, 30822.0, 243774.0, 164708.0, 10096.0, 15699.0, 178507.0, 178997.0, 113490.0, 110179.0, 10035.0, 8898.0, 176701.0, 160479.0, 29875.0, 62374.0, 28733.0, 12138.0, 121382.0, 10504.0, 145701.0, 9273.0, 30293.0, 29649.0, 29359.0, 65556.0, 66354.0, 24731.0, 174744.0, 25633.0, 6682.0, 11770.0]",large_cap
132,Trading - Small Cap,47,47,939119089.6899999,939119089.6899999,"[7959.0, 64545.0, 63718.0, 120456.0, 175674.0, 24980.0, 161852.0, 15824.0, 175315.0, 165209.0, 108345.0, 115831.0, 264510.0, 129919.0, 155754.0, 12407.0, 158766.0, 108901.0, 3842.0, 21361.0, 29089.0, 9355.0, 8987.0, 161065.0, 119594.0, 106061.0, 111627.0, 17430.0, 7034.0, 2467.0, 7277.0, 29752.0, 13913.0, 165580.0, 176735.0, 114962.0, 140364.0, 105231.0, 64945.0, 176366.0, 22064.0, 8611.0, 62545.0, 107434.0, 147352.0, 163863.0, 62206.0]",small_cap
133,Transportation,40,86,1232097521805.0,1232097521805.0,"[119314.0, 10867.0, 28191.0, 10920.0, 4598.0, 2574.0, 2698.0, 7923.0, 2696.0, 3851.0, 10795.0, 13498.0, 126296.0, 24617.0, 130618.0, 9882.0, 4494.0, 65609.0, 5783.0, 144998.0, 100713.0, 1045.0, 150481.0, 150764.0, 30861.0, 4941.0, 6461.0, 1230.0, 100676.0, 21440.0, 164190.0, 12392.0, 11065.0, 249158.0, 1254.0, 165678.0, 152011.0, 62378.0, 10565.0, 165743.0, 165262.0, 12266.0, 175606.0, 1743.0, 147305.0, 179087.0, 175007.0, 178877.0, 174700.0, 177067.0, 66401.0, 8092.0, 160621.0, 30927.0, 164094.0, 12625.0, 163930.0, 29206.0, 8515.0, 61034.0, 65500.0, 12840.0, 147398.0, 14229.0, 1262.0, 30877.0, 162338.0, 165948.0, 165913.0, 162914.0, 140225.0, 165075.0, 12598.0, 178403.0, 163060.0, 65374.0, 61976.0, 28059.0, 1210.0, 147249.0, 20177.0, 141006.0, 160856.0, 111535.0, 11649.0, 176730.0]",all
134,Transportation - Large Cap,40,17,1033114461570.0,1033114461570.0,"[119314.0, 10867.0, 28191.0, 10920.0, 4598.0, 2574.0, 2698.0, 7923.0, 2696.0, 3851.0, 10795.0, 13498.0, 126296.0, 24617.0, 130618.0, 9882.0, 4494.0]",large_cap
135,Transportation - Small Cap,40,17,1921045779.0,1921045779.0,"[162914.0, 140225.0, 165075.0, 12598.0, 178403.0, 163060.0, 65374.0, 61976.0, 28059.0, 1210.0, 147249.0, 20177.0, 141006.0, 160856.0, 111535.0, 11649.0, 176730.0]",small_cap
136,Utilities,31,80,1876059566273.0,1876059566273.0,"[4517.0, 100957.0, 6135.0, 9850.0, 4093.0, 211819.0, 11506.0, 1440.0, 8272.0, 10671.0, 165649.0, 4029.0, 8151.0, 8539.0, 7977.0, 7366.0, 8810.0, 3413.0, 8264.0, 11550.0, 135990.0, 4383.0, 10860.0, 3897.0, 14390.0, 8455.0, 8099.0, 7970.0, 5742.0, 9846.0, 3439.0, 7974.0, 11554.0, 6338.0, 25792.0, 8542.0, 1075.0, 8113.0, 136684.0, 10801.0, 7733.0, 154135.0, 5870.0, 160913.0, 8807.0, 14433.0, 9890.0, 12428.0, 2259.0, 6547.0, 7849.0, 1828.0, 6867.0, 8001.0, 14391.0, 64625.0, 8199.0, 11304.0, 2986.0, 6932.0, 9849.0, 2628.0, 5526.0, 7993.0, 105632.0, 9324.0, 65614.0, 7368.0, 10999.0, 19129.0, 144096.0, 62618.0, 12964.0, 11657.0, 9171.0, 123456.0, 29839.0, 17341.0, 152430.0, 140185.0]",all
137,Utilities - Large Cap,31,16,1213362675490.0,1213362675490.0,"[4517.0, 100957.0, 6135.0, 9850.0, 4093.0, 211819.0, 11506.0, 1440.0, 8272.0, 10671.0, 165649.0, 4029.0, 8151.0, 8539.0, 7977.0, 7366.0]",large_cap
138,Utilities - Small Cap,31,16,10021479339.0,10021479339.0,"[105632.0, 9324.0, 65614.0, 7368.0, 10999.0, 19129.0, 144096.0, 62618.0, 12964.0, 11657.0, 9171.0, 123456.0, 29839.0, 17341.0, 152430.0, 140185.0]",small_cap
139,Wholesale,41,84,641523704061.8,641523704061.8,"[7171.0, 31673.0, 2751.0, 5256.0, 14225.0, 100644.0, 29901.0, 10247.0, 176914.0, 5125.0, 30671.0, 28787.0, 116029.0, 156155.0, 120444.0, 15020.0, 2101.0, 61494.0, 61420.0, 155394.0, 4669.0, 1773.0, 61732.0, 1919.0, 1004.0, 5530.0, 31453.0, 63986.0, 63927.0, 64063.0, 11313.0, 1659.0, 4599.0, 64223.0, 28661.0, 66586.0, 163935.0, 11017.0, 12471.0, 6617.0, 60931.0, 29910.0, 160424.0, 162085.0, 161813.0, 29870.0, 61028.0, 11258.0, 64791.0, 147708.0, 7295.0, 178973.0, 25536.0, 8350.0, 30899.0, 11455.0, 4860.0, 28399.0, 8213.0, 9125.0, 150201.0, 18582.0, 3937.0, 61122.0, 60911.0, 125995.0, 14985.0, 121196.0, 62956.0, 264393.0, 160742.0, 21040.0, 6343.0, 4225.0, 148909.0, 64488.0, 9323.0, 25406.0, 31738.0, 27765.0, 107213.0, 164182.0, 176469.0, 106722.0]",all
140,Wholesale - Large Cap,41,16,545331397690.0,545331397690.0,"[7171.0, 31673.0, 2751.0, 5256.0, 14225.0, 100644.0, 29901.0, 10247.0, 176914.0, 5125.0, 30671.0, 28787.0, 116029.0, 156155.0, 120444.0, 15020.0]",large_cap
141,Wholesale - Small Cap,41,16,173727414.6,173727414.6,"[62956.0, 264393.0, 160742.0, 21040.0, 6343.0, 4225.0, 148909.0, 64488.0, 9323.0, 25406.0, 31738.0, 27765.0, 107213.0, 164182.0, 176469.0, 106722.0]",small_cap
